NAME,PER (orbital period) ,ECC ( e or g =ecentricity),A (semi major axis),MASS,R (radius of the planet),I (inclenation idk)
,s,,au,kg,au,deg
Kepler-880 b,666549.1944,0,0.0866835,4.10650836E+025,0.00011326089921,
HD 133131 A b,56073600,0.33,1.44284,2.697255246E+027,,
Kepler-1343 b,289598.248512,0,0.0430893,2.69710335E+025,8.21977833928261E-05,
Kepler-575 b,810338.639616,0,0.0861587,3.492639663E+025,0.000101791441062,
Kepler-313 c,2788410.7872,,0.198382,3.894822297E+025,0.000109571556839,
Kepler-199 b,2042288.9856,,0.161192,5.476344462E+025,0.000132594582494,
Kepler-172 b,254042.6976,,0.0401669,3.416805585E+025,0.000100191929545,
Kepler-223 d,1277748.7776,,0.117913,5.035010634E+025,0.000127051966844,
Kepler-431 d,1030060.8,,0.104497,8.600218611E+024,4.82673030388107E-05,
Kepler-917 b,256643.801568,0,0.0375418,2.66463558E+025,8.12419952138398E-05,
Kepler-1072 b,135567.3456,0,0.028082,2.239630572E+025,6.73830666185377E-05,
Kepler-360 b,284227.6608,,0.0432887,2.324464488E+025,7.03474436556638E-05,
Kepler-1212 b,1118128.446144,0,0.111358,3.032166939E+025,9.12777710931964E-05,
Kepler-246 b,397597.248,,0.0541452,3.396983157E+025,9.97656480166847E-05,
Kepler-347 b,1105778.304,,0.10708,2.759342736E+025,8.39908420166045E-05,
HD 63765 b,30931200,0.24,0.94038,1.2224343249E+027,,
HD 233604 b,16588800,0.05,0.746644,1.2576267294E+028,,
Kepler-217 c,741830.7456,,0.0820605,2.586238257E+025,7.88745078944906E-05,
HD 85390 b,68083200,0.41,1.52377,2.504081508E+026,,
Kepler-1590 b,658161.334656,0,0.0784501,8.902073937E+024,4.87451971283039E-05,
Kepler-1498 b,4151641.392,0,0.245986,1.5129088431E+025,5.68693966496878E-05,
Kepler-401 c,4088294.0352,,0.256031,3.047622357E+025,9.16648653056859E-05,
Kepler-299 c,594939.6,,0.0708347,4.090008657E+025,0.000112982286956,
Kepler-1176 b,2088621.32256,0,0.164164,3.634225722E+025,0.000104658805599,
HAT-P-57 b,213001.488,0,0.0406092,1.8987E+027,0.000674786454364,88.26
Kepler-525 b,1614301.862112,0,0.135465,4.050287853E+025,0.000112305111031,
Kepler-112 b,726527.0592,,0.080928,3.436798896E+025,0.000100618211072,
Kepler-1326 b,3659163.26688,0,0.269138,1.0891626732E+026,0.000178254495381,
Kepler-748 b,640001.773152,0,0.076064,3.783463542E+025,0.000107526170136,
Kepler-155 c,4549978.9152,,0.27496,3.206790378E+025,9.55018769502266E-05,
Kepler-271 c,640304.784,,0.0743912,5.536286421E+024,4.26348433000441E-05,
Kepler-961 b,1458196.485696,0,0.127028,3.834975273E+025,0.000108481958315,
Kepler-241 c,3116100.4992,,0.213635,3.894822297E+025,0.000109571556839,
Kepler-492 b,1012618.597824,0,0.0989169,1.2224134392E+027,0.000409077340606,
WASP-77 A b,117506.66976,0,0.0240531,3.340212027E+027,0.000578251848287,89.4
Kepler-164 c,945710.4672,,0.0964797,4.29770745E+025,0.000116393017072,
HD 219077 b,475286400,0.77,6.21822,1.984350357E+028,,
Kepler-371 b,3003547.2192,,0.208459,2.642439777E+025,8.05801118998917E-05,
Kepler-548 b,384842.390976,0,0.0517147,1.8987E+027,0.000511346675758,
55 Cnc e,63637.5744,0,0.0154393,5.006340264E+025,8.8680416716801E-05,83.4
HIP 57274 d,37298880,0.27,1.00678,1.0036015551E+027,,
Kepler-1254 d,494827.683264,0,0.0576676,1.4284641606E+025,5.59136084707015E-05,
HD 221287 b,39407040.864,0.08,1.25015,5.915115045E+027,,
KOI-13 b,152374.002336,0,0.0342279,1.23700305E+028,0.000671919089827,85.9
Kepler-1017 b,625018.005216,0,0.0714529,2.797506606E+025,8.50651479297852E-05,
Kepler-1100 b,554860.850112,0,0.0720524,2.449854636E+025,7.45514779609353E-05,
Kepler-1050 b,1328724.39744,0,0.124555,2.266687047E+025,6.8338854797524E-05,
Kepler-1460 b,2588831.25408,0,0.167635,2.746735368E+025,8.36314656613056E-05,
Kepler-1310 b,58694.653728,0,0.0146558,1.931870289E+025,6.11704434551264E-05,
HD 192699 b,29853792,0.129,1.12292,4.351649517E+027,,
Kepler-178 d,8353064.5632,,0.412251,9.509316171E+025,0.000168407487667,
Kepler-1371 c,173267.656416,0,0.0297109,1.1429357559E+024,2.7239963101111E-05,
Kepler-1090 b,17165967.4656,0,0.633688,3.230713998E+025,9.60567119881282E-05,
Kepler-312 b,153137.0016,,0.0286627,1.3505301204E+025,5.49989191834115E-05,
Kepler-164 b,435026.592,,0.0574921,1.8230975634E+025,6.01152533055255E-05,
